,CH4,Al2O3,Au,Co,Cr,Fe2O3,Ga,Ge,Ir,LOI,MgO,Ni,Os,Pt,Rh,Ru,Sb,SiO2,V,W,Zn,CH4label,Lithotype,Sample
1,5965,11.02,5.3,174,194723.89,13.97,20,0.25,30.9,4.08,20.2,1520,1,2.5,6.6,157,0.2,11.3,547,10.3,185,High,Chr,AET2
2,1983,5.61,11.8,0.01,284600,11.41,26.5,0.58,30.9,8.45,26.08,2600,34,8,3.1,131,0.5,19.02,711,8.5,316.5,Moderate,Chr,AET3
3,8987,18.67,35.5,293.68,304600,17.05,26.5,0.58,17.6,3.73,18.59,1850,1,10,3.1,131,0.5,9.96,711,8.5,365,High,Chr,ERB2
4,3430,19.97,53.1,146.84,382900,14.77,26.5,0.58,31.3,1.58,15.1,1230,85,8,3,152,0.5,7.13,711,8.5,476,Moderate,Chr,MET2
5,8500,21.44,7.5,220.26,425000,15.49,26.5,0.58,23,0.42,15.29,2100,34,2.5,2.2,101,0.5,3.77,711,8.5,316.5,High,Chr,MET5
6,26780,18.67,12.1,146.84,304600,13.97,26.5,0.58,45.4,2.93,18.59,1530,70,12,3.7,178,0.5,9.96,711,8.5,305,Very High,Chr,MSK2
7,5965,11.3,4.5,146.84,216100,11.45,26.5,0.58,17,6.72,26.29,1260,31,5,2.7,73,0.5,22.25,711,8.5,328,High,Chr,MSK3
8,1258,20.76,11.8,146,382500,13.4,33,0.9,38.3,2.12,14.77,1390,124,22,7.3,5,0.8,9.18,875,6.7,299,Moderate,Chr,MSKB3
9,56,15.43,1.1,50,650,9.21,15,1.3,0.3,7.54,5.06,116,1,2.5,0.3,5,0.7,44.53,230,2.1,77,Negligible,Bst,AGR1
10,213,6.84,0.5,37,930,6.79,6,0.7,0.3,18.12,17.58,205,1,2.5,0.3,5,0.7,32.6,102,1.3,44,Low,Bst,AGR11
11,46,14.16,1.1,44,540,9.56,15,1.4,0.3,5.31,5.98,52,1,2.5,0.3,5,0.6,47.08,249,1.4,68,Negligible,Bst,AGR6
12,163.5,12.68,1.1,56,690,11.63,15,1.7,0.3,3.81,11.11,185,1,2.5,0.3,5,2.5,44.19,301,2.3,92,Low,Bst,ED5
13,163.5,11.48,1.1,38,3490,9.69,13,1.7,0.3,13.45,4.27,108,1,2.5,0.3,5,1.5,39.73,231,2.1,54,Low,Bst,ED6
14,34,12.11,1.1,43,1110,7.71,12,1,0.3,12.44,6.25,203,1,2.5,0.3,5,0.9,40.87,208,1.8,70,Negligible,Bst,LOG6
15,163.5,14.42,1.1,37,320,9.45,23,2,0.3,6.1,6.03,54,1,2.5,0.3,5,0.7,43.75,266,2.1,64,Low,Bst,LOG9
16,223,16.45,1.1,29,4.59,6.48,17,1.3,0.3,1,6.8,158,1,2.5,0.3,5,0.7,54.22,124,4.6,61,Low,Bst,MK1
17,128,9.95,1.2,25,950,9.4,5,1.1,0.3,10.7,3.21,117,1,5,0.4,5,0.8,47.97,140,2.4,47,Low,Bst,P3
18,163.5,2.42,1.1,7,350,4.19,2,0.25,0.3,32.25,1.2,33,1,2.5,0.3,5,0.7,18.27,66,1.8,19,Low,Bst,P4
19,299,12.15,1.1,28,690,7.5,11,1.3,0.3,12.22,4.7,82,1,2.5,0.3,5,0.7,42.38,213,2,48,Low,Bst,PK2
20,199,10.74,1.1,25,980,6.16,6,1,0.1,13.08,2.94,107,1,2.5,0.2,5,0.9,42.04,181,2.2,46,Low,Bst,PN4
21,163.5,15.92,2,60,1920,15.57,14,1.1,0.2,5.22,6.31,39,1,2.5,0.2,5,0.7,40.04,739,1.6,88,Low,Gbr,VR2
22,248,17.74,2,28,2210,8.88,20,1.3,0.2,2.04,6.18,86,1,2.5,0.2,5,0.2,50.48,270,0.5,57,Low,Gbr,TOR3A
23,853,9.7,2,59,1820,9.84,7,1.5,0.2,1.15,16.85,255,1,2.5,0.2,5,0.2,49.38,211,0.5,43,Low,Gbr,TOR4A
24,1332,12.98,2,53,760,10.98,11,1.5,0.2,0.36,12.57,122,1,2.5,0.2,5,0.2,48.38,346,0.5,47,Moderate,Gbr,TOR4E
25,25,12.93,2,47,240,15.19,24,1.8,0.1,4.7,4.47,37,1,2.5,0.2,5,0.7,45.12,396,1.7,119,Negligible,Bst,FIL
26,31,14.07,2,41,730,8.39,14,1.9,0.1,3.81,7.37,211,1,2.5,0.2,5,1.1,49.76,287,2.4,64,Negligible,Bst,FIL1
27,25,14.14,2,46,1630,8.36,13,1.3,0.1,4.49,7.55,259,1,2.5,0.2,5,0.8,49.43,283,2,68,Negligible,Bst,FIL2
28,25,13.77,2,33,5040,6.79,14,1.1,0.1,15.76,3.39,115,1,2.5,0.2,5,0.9,35.73,150,2.1,79,Negligible,Bst,KRN4
29,18,12.93,2,24,2050,6.49,13,1.2,0.1,16.98,2.75,74,1,2.5,0.2,5,0.9,34.67,163,2,67,Negligible,Bst,KRN6
30,20,13.41,2,32,780,6.65,14,1.1,0.1,16.77,4.2,113,1,2.5,0.2,5,0.9,35.41,141,1.8,62,Negligible,Bst,KRN7
31,25,15.16,2,27,660,9.83,15,1.2,0.1,1.98,4.68,69,1,2.5,0.2,5,0.7,57.76,255,1.6,43,Negligible,Bst,MKL2
32,118,14.22,5.5,33,730,8.36,15,1.3,0.1,4.66,3.87,113,1,2.5,0.2,5,0.8,49.43,211,2,71,Low,Bst,MKL4
33,25,14.22,2,16,290,10.71,23,1.8,0.1,4.62,1.97,12,1,2.5,0.2,5,0.8,54.97,52,1.9,144,Negligible,Bst,MZ1
34,25,17.53,2,36,410,7.66,17,1.3,0.1,4.97,3.09,129,1,2.5,0.2,5,0.7,52.13,254,1.6,71,Negligible,Bst,MZ10
35,43,16.44,2,37,330,13.18,24,2.3,0.1,4.31,2.65,117,1,2.5,0.2,5,0.8,46.95,211,2,85,Negligible,Bst,MZ11
36,25,14.47,2,23,6390,11.92,25,1.6,0.1,3.53,3.87,35,1,2.5,0.2,5,0.3,52.31,91,0.5,123,Negligible,Bst,MZ2
37,25,16.69,2,32,380,7.78,17,1.3,0.1,4.99,3.53,110,1,2.5,0.2,5,0.7,51.57,270,3,71,Negligible,Bst,MZ9
38,24,14.3,2,40,1170,6.1,12,0.7,0.1,11.04,7.17,200,1,2.5,0.2,5,1.6,45.85,185,2.9,46,Negligible,Bst,SI4
39,2670,18.49,0.5,29,1070,3.84,9,0.8,0.2,6.45,8.69,151,1,2.5,0.2,5,0.6,47.32,86,2,22,Moderate,Rdg Gbr,ARCB4
40,2700,15.65,12.5,39,320,9.94,10,1.3,8.3,4.32,7.99,79,1,5,3.3,38,0.6,41.01,533,1.8,40,Moderate,Rdg Gbr,MSKB2
41,181,1.64,2,4,610,29.47,12,11,0.2,1.09,0.42,13,1,2.5,0.2,5,0.7,37.53,36,13.1,19,Low,Rdg Gbr,VR3
42,181,11.5,2,44,1200,8.6,8,1.1,0.2,7.46,22.13,417,1,2.5,0.2,5,0.7,42.32,204,2.2,29,Low,Rdg Gbr,VR5
43,181,13.57,2,34,840,9.27,9.5,1.2,0.1,4.32,8.34,115,1,2.5,0.2,5,0.65,41.01,145,2.1,25.5,Low,Rdg Gbr,VR7
44,543,2.17,6.7,146.84,113300,7.91,6.75,0.9,3.9,15.06,35.09,2400,1,2.5,1.7,115,0.95,27.74,152,4.05,84,Low,Chr,SK1
45,1379,4.59,18.3,146.84,231000,9.61,6.75,0.9,28,11.44,30.66,1770,1,5,5.3,150,0.95,20.87,152,4.05,150,Moderate,Chr,SK2
46,1740,6.7,2,146,113300,11.45,13,1,15.95,7.52,24.06,1690,1,2.5,3.5,132.5,1.2,15.87,273,6.6,154,Moderate,Chr,SK3
47,1379,0.68,2,119,8060,8.35,0.5,0.8,15.95,7.63,38.65,2470,1,2.5,3.5,132.5,0.7,41.3,31,1.5,56,Moderate,Chr,SK6
48,6666,0.75,0.5,116,3270,8.23,1,0.7,4.6,11.41,41.56,2180,7,2.5,0.8,9,0.7,34.81,41,1.6,52,High,Srp Per,AET5
49,383,2.73,0.9,73.42,4400,8,1,0.95,2.8,12.21,35.34,2500,1,6,1.2,5,0.7,39.84,43,1.6,51,Low,Srp Per,AS5
50,613,0.7,19.7,73.42,3800,8.19,1,0.95,3.9,13.23,37.67,1860,1,7,0.9,37,0.7,39.27,43,1.6,48,Low,Srp Per,ERB1
51,544,1.74,0.7,112,3270,8.75,2,1,3.35,3.76,39.72,2220,1,4.25,0.85,7,0.7,42.24,63,1.9,52,Low,Srp Per,LK2
52,406,0.76,0.7,112,3330,8.66,0.5,1,3.35,4.98,42.74,2230,1,4.25,0.85,7,0.7,41.43,44,3,51,Low,Srp Per,SI10
53,544,14.2,0.7,34,300,10.03,18,1.5,3.35,3.46,4.28,76,1,4.25,0.85,7,0.9,55.72,410,1.8,68,Low,Srp Per,SI12
54,544,0.57,0.7,124,4260,8.42,0.5,0.7,3.35,5.97,43.96,2490,1,4.25,0.85,7,0.7,38.45,18,1.6,51,Low,Srp Per,SI9
55,544,14.98,0.7,22,670,10.3,20,1.7,3.35,4.52,3.69,56,1,4.25,0.85,7,0.2,56.7,144,0.5,33,Low,Srp Per,TOR7
56,544,0.85,0.7,108,2890,8.23,1,0.9,3.35,14.52,36.69,2400,1,4.25,0.85,7,0.7,39.1,42,1.2,52,Low,Srp Per,XL1
57,544,0.53,0.5,109,3000,8.09,0.5,0.8,1.8,9.91,42.25,2340,1,2.5,0.7,5,0.6,38.18,34,1.4,50,Low,Srp Per,XL3
58,544,1.3,0.7,116,3730,8.06,1,1.2,3.35,13.23,36.35,2440,1,4.25,0.85,7,0.7,38.78,48,1.7,75,Low,Srp Per,VR11
