LocationAbbrev,Location,LithotypeAbbrev,GenericLithotype,Lithotype,Sample,Ophiolite,CH4,Al2O3,Au,Ba,CaO,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe2O3,Ga,Gd,Ge,Hf,Ho,Ir,K2O,La,LOI,Lu,MgO,MnO,Na2O,Nb,Nd,Ni,Os,P2O5,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,SiO2,Sm,Sr,Ta,Tb,Th,TiO2,Tm,U,V,W,Y,Yb,Zn,Zr,Total
AET,Aetorraches,Chr,Chr,Chromitite,AET2,Vourinos,5965,11.02,5.3,74,0.67,2.17,174,194723.89,0.05,1,0.45,0.41,0.04,13.97,20,0.34,0.25,0.2,0.12,30.9,0.01,1.5,4.08,0.07,20.2,0.15,0.02,0.1,0.74,1520,1,0.02,3,0.26,2.5,4,6.6,157,0.01,0.2,7,11.3,0.16,3,0.01,0.07,0.58,0.12,0.06,0.04,547,10.3,3.2,0.4,185,5,61.56
AET,Aetorraches,Chr,Chr,Chromitite,AET3,Vourinos,1983,5.61,11.8,42,0.17,1.44,0.01,284600,0.08,4.5,0.28,0.27,0.03,11.41,26.5,0.23,0.58,0.15,0.08,30.9,0.01,0.97,8.45,0.05,26.08,0.1,0.01,0.1,0.57,2600,34,0.01,3,0.18,8,4.5,3.1,131,0.02,0.5,8,19.02,0.13,12,0.2,0.05,0.33,0.09,0.04,0.05,711,8.5,2.05,0.28,316.5,4,99.76
ERB,Eretreia,Chr,Chr,Chromitite,ERB2,Othrys,8987,18.67,35.5,42,0.56,1.44,293.68,304600,0.08,109,0.28,0.27,0.03,17.05,26.5,0.23,0.58,0.15,0.08,17.6,0.01,0.97,3.73,0.05,18.59,0.14,0.01,0.1,0.57,1850,1,0.38,8,0.18,10,4.5,3.1,131,0.1,0.5,8,9.96,0.13,12,0.2,0.05,0.33,0.1,0.04,0.05,711,8.5,2.05,0.28,365,4,100.1
MET,Metalleion,Chr,Chr,Chromitite,MET2,Othrys,3430,19.97,53.1,42,2.86,1.44,146.84,382900,0.08,6,0.28,0.27,0.03,14.77,26.5,0.23,0.58,0.15,0.08,31.3,0.01,0.97,1.58,0.05,15.1,0.17,0.01,0.1,0.57,1230,85,0.01,3,0.18,8,4.5,3,152,0.01,0.5,8,7.13,0.13,12,0.2,0.05,0.33,0.11,0.04,0.05,711,8.5,2.05,0.28,476,4,100.4
MET,Metalleion,Chr,Chr,Chromitite,MET5,Othrys,8500,21.44,7.5,42,1.11,1.44,220.26,425000,0.08,4.5,0.28,0.27,0.03,15.49,26.5,0.23,0.58,0.15,0.08,23,0.01,0.97,0.42,0.05,15.29,0.11,0.01,0.1,0.57,2100,34,0.01,2,0.18,2.5,4.5,2.2,101,0.02,0.5,8,3.77,0.13,12,0.2,0.05,0.33,0.09,0.04,0.05,711,8.5,2.05,0.28,316.5,4,100.7
MSK,Moschokarya,Chr,Chr,Chromitite,MSK2,Othrys,26780,18.67,12.1,42,0.62,1.44,146.84,304600,0.08,7,0.28,0.27,0.03,13.97,26.5,0.23,0.58,0.15,0.08,45.4,0.01,0.97,2.93,0.05,18.59,0.14,0.01,0.1,0.57,1530,70,0.01,3,0.18,12,4.5,3.7,178,0.01,0.5,8,9.96,0.13,12,0.2,0.05,0.33,0.11,0.04,0.05,711,8.5,2.05,0.28,305,4,99.93
MSK,Moschokarya,Chr,Chr,Chromitite,MSK3,Othrys,5965,11.3,4.5,42,0.57,1.44,146.84,216100,0.08,3,0.28,0.27,0.03,11.45,26.5,0.23,0.58,0.15,0.08,17,0.01,0.97,6.72,0.05,26.29,0.1,0.01,0.1,0.57,1260,31,0.01,3,0.18,5,4.5,2.7,73,0.04,0.5,8,22.25,0.13,12,0.2,0.05,0.33,0.11,0.04,0.05,711,8.5,2.05,0.28,328,4,100.7
MSK,Moschokarya,Chr,Chr,Chromitite,MSKB3,Othrys,1258,20.76,11.8,10,4.83,0.72,146,382500,0.1,2,0.12,0.13,0.03,13.4,33,0.11,0.9,0.1,0.03,38.3,0.02,0.44,2.12,0.03,14.77,0.14,0.05,0.1,0.4,1390,124,0.01,4,0.1,22,5,7.3,5,0.04,0.8,9,9.18,0.1,21,0.39,0.02,0.08,0.13,0.02,0.05,875,6.7,0.9,0.16,299,3,99.14
AGR,Agrilia,Fl Bst,Bst,Flood Basalt,AGR1,Othrys,56,15.43,1.1,14,14.37,11,50,650,0.05,94,4.4,2.62,1.1,9.21,15,3.84,1.3,2,0.9,0.3,0.17,4.02,7.54,0.36,5.06,0.16,2.81,2.6,8.28,116,1,0.13,2,1.71,2.5,3,0.3,5,0.06,0.7,38,44.53,2.75,190,0.28,0.7,0.2,1.24,0.37,0.19,230,2.1,24.3,2.55,77,75,100.6
AGR,Agrilia,Fl Bst,Bst,Flood Basalt,AGR11,Othrys,213,6.84,0.5,9,17.63,10.8,37,930,0.1,33,1.4,0.84,0.41,6.79,6,1.27,0.7,0.7,0.28,0.3,0.04,4.86,18.12,0.12,17.58,0.1,0.21,1.1,5.73,205,1,0.1,3,1.37,2.5,1,0.3,5,0.01,0.7,23,32.6,1.17,79,0.17,0.24,0.25,0.4,0.12,0.12,102,1.3,7.8,0.85,44,25,100.4
AGR,Agrilia,Fl Bst,Bst,Flood Basalt,AGR6,Othrys,46,14.16,1.1,10,11.51,11,44,540,0.05,85,4.38,2.67,1.13,9.56,15,3.84,1.4,2.1,0.9,0.3,0.06,4.02,5.31,0.38,5.98,0.13,4.35,2.7,8.46,52,1,0.13,2,1.64,2.5,0.5,0.3,5,0.1,0.6,39,47.08,2.69,92,0.28,0.72,0.23,1.28,0.39,0.09,249,1.4,24.7,2.63,68,78,99.55
ED,Edipsos,Fl Bst,Bst,Flood Basalt,ED5,Othrys,163.5,12.68,1.1,44,10.9,19,56,690,1,23,4.53,2.66,1.25,11.63,15,4.58,1.7,2,0.95,0.3,0.5,8.25,3.81,0.37,11.11,0.23,1.79,2.2,12.9,185,1,0.19,2,2.73,2.5,16,0.3,5,0.0005,2.5,41,44.19,3.87,783,0.27,0.77,1.74,1.09,0.38,0.55,301,2.3,25.4,2.47,92,66,98.12
ED,Edipsos,Fl Bst,Bst,Flood Basalt,ED6,Othrys,163.5,11.48,1.1,173,13.66,16.3,38,3490,4.2,57,3.92,2.25,1.09,9.69,13,3.73,1.7,1.9,0.78,0.3,2.5,7.32,13.45,0.32,4.27,0.18,2.16,1.9,10.9,108,1,0.09,2,2.37,2.5,102,0.3,5,0.01,1.5,41,39.73,3.16,84,0.26,0.64,1.47,1.01,0.32,1.13,231,2.1,21.8,2.1,54,63,98.21
LOG,Loggitsi,Fl Bst,Bst,Flood Basalt,LOG6,Othrys,34,12.11,1.1,56,15.75,23.2,43,1110,0.3,38,3.01,1.87,0.85,7.71,12,2.61,1,1.5,0.66,0.3,0.62,12.5,12.44,0.29,6.25,0.11,3.23,13.7,11.3,203,1,0.23,2,2.84,2.5,9,0.3,5,0.01,0.9,31,40.87,2.45,141,1.02,0.47,1.52,0.75,0.27,0.3,208,1.8,17.9,1.82,70,50,100.1
